# telescope   = tel13
# season      = 2014-2015
# filter      = RG715
# aperture    = 6.000               pix
# deblend     = 1
# gliese      = 1132
# lhs         = 281
# nltt        = 23819
# twomass     = 10145184-4709244
# ra          = 10:14:51.770        hr
# dec         = -47:09:24.10        deg
# pmra        = -1.04648201531881   arcsec/yr
# pmdec       = 0.416445772717513   arcsec/yr
# aflag       = R 
# plx         = 0.08307             arcsec
# e_plx       = 0.00169             arcsec
# r_plx       = 2005AJ....129.1954J
# distmod     = 0.402778947673816   mag
# s_distmod   = T
# bjmag       = 13.95               mag
# rfmag       = 11.93               mag
# inmag       = 9.57                mag
# jmag        = 9.245               mag
# e_jmag      = 0.026               mag
# q_jmag      = A
# hmag        = 8.666               mag
# e_hmag      = 0.031               mag
# q_hmag      = A
# kmag        = 8.322               mag
# e_kmag      = 0.027               mag
# q_kmag      = A
# vest        = 13.49               mag
# s_vest      = R
# vmjest      = 4.245               mag
# spectype    = M3.5
# r_spectype  = 1996AJ....112.2799H
# mass        = 0.180204199469014   Msol
# radius      = 0.201979294465034   Rsol
# null_dc[1]  = 0.000114            mag
# null_dc[2]  = 0.000573            mag
# null_cm     = 0.844670            mag/mag
# null_fwhm_k = -0.001020           mag/pix
# null_fwhm_0 = 2.516000            pix
# null_chidof = 3.918
# null_nfit   = 9264
# null_nparm  = 4
#
#BJD           Mag         e_Mag       tExp    DMag    FWHM   Ellip Airmass X         Y         Angle   Sky      Peak  S  V  R F CM        Corr_Mag   
#------------- ----------- ----------- ------- ------- ------ ----- ------- --------- --------- ------- -------- ----- -- -- - - --------- -----------
2456685.561147   -0.003716    0.003338  18.023  0.0202  2.848 0.069 1.96720  1024.089  1023.906   -0.00    59.60 15730  1  1 0 0 -0.000405   -0.003149
2456685.561667    0.006409    0.003335  18.023  0.0197  3.028 0.074 1.96004  1025.895  1027.595   -0.01    58.13 14624  1  1 0 0 -0.000425    0.007176
2456685.582679    0.009147    0.002846  18.023  0.0123  2.600 0.062 1.71268  1023.691  1023.611    0.01    49.46 17084  1  1 0 0  0.000106    0.009029
2456685.583190    0.001468    0.002828  18.023  0.0143  2.693 0.064 1.70757  1023.374  1022.078    0.00    50.17 14948  1  1 0 0  0.000118    0.001434
2456685.608584    0.000559    0.002469  18.023  0.0060  2.614 0.058 1.49356  1023.302  1023.288    0.01    46.57 15579  1  1 0 0  0.000916   -0.000230
2456685.609097    0.005782    0.002473  18.023  0.0019  2.768 0.038 1.48995  1023.277  1023.176    0.02    49.96 14378  1  1 0 0  0.000948    0.005124
2456685.623730    0.006329    0.002335  18.023  0.0016  2.824 0.039 1.39642  1023.640  1023.077    0.02    44.14 14889  1  1 0 0  0.001796    0.005011
2456685.624244    0.014113    0.002330  18.023 -0.0054  2.923 0.044 1.39345  1024.580  1025.421    0.02    51.52 12327  1  1 0 0  0.001794    0.012899
2456685.636492    0.010062    0.002245  18.023 -0.0129  2.825 0.053 1.32812  1022.910  1023.596    0.02    54.97 14893  1  1 0 0  0.001739    0.008795
2456685.637003    0.010817    0.002226  18.023 -0.0005  2.895 0.074 1.32561  1022.851  1023.440    0.02    54.33 14254  1  1 0 0  0.001736    0.009622
2456685.650210    0.003289    0.002148  18.023 -0.0176  2.720 0.058 1.26617  1023.143  1024.256    0.02    47.19 16555  1  1 0 0  0.001754    0.001901
2456685.650724    0.001654    0.002146  18.023 -0.0114  2.700 0.060 1.26406  1023.307  1023.020    0.03    47.29 16115  1  1 0 0  0.001757    0.000243
2456685.664920    0.007559    0.002093  18.023 -0.0153  2.908 0.045 1.21093  1024.036  1022.095    0.03    53.07 14751  1  1 0 0  0.001949    0.006198
2456685.665429    0.006987    0.002079  18.023 -0.0122  3.054 0.044 1.20921  1023.294  1022.654    0.03    52.51 11366  1  1 0 0  0.001978    0.005751
2456685.679848    0.008270    0.002032  18.023 -0.0218  2.762 0.065 1.16499  1023.570  1024.051    0.04    48.65 14751  1  1 0 0  0.002799    0.006042
2456685.680357    0.005985    0.002017  18.023 -0.0182  2.589 0.043 1.16358  1023.675  1023.653    0.03    45.51 17352  1  1 0 0  0.002829    0.003556
2456685.694750    0.006502    0.001977  18.023 -0.0171  2.549 0.046 1.12791  1023.673  1024.046    0.04    49.02 19448  1  1 0 0  0.002523    0.004290
2456685.695264    0.007856    0.001981  18.023 -0.0170  2.398 0.039 1.12678  1023.753  1023.315    0.04    48.99 20151  1  1 0 0  0.002504    0.005506
2456685.712251    0.005505    0.001933  18.023 -0.0160  2.516 0.036 1.09419  1023.752  1022.811    0.04    51.26 19337  1  1 0 0  0.002319    0.003432
2456685.712761    0.006216    0.001939  18.023 -0.0261  2.470 0.040 1.09336  1023.811  1023.189    0.05    49.49 20169  1  1 0 0  0.002324    0.004092
2456685.726424    0.007048    0.001902  18.023 -0.0138  2.896 0.063 1.07386  1022.999  1023.745    0.05    39.06 13980  1  1 0 0  0.002355    0.005332
2456685.726930    0.004417    0.001901  18.023 -0.0097  2.219 0.051 1.07325  1024.196  1022.385    0.05    38.10 21822  1  1 0 0  0.002344    0.002020
2456685.740899    0.009961    0.001899  18.023 -0.0134  2.545 0.051 1.05901  1024.432  1023.465    0.05    49.47 15765  1  1 0 0  0.002051    0.008144
2456685.741416    0.008891    0.001887  18.023 -0.0143  2.461 0.054 1.05859  1024.167  1023.293    0.04    49.56 20761  1  1 0 0  0.002040    0.006997
2456685.756116    0.007536    0.001883  18.023 -0.0079  2.178 0.049 1.04947  1023.615  1025.353    0.05    43.58 22780  1  1 0 0  0.002441    0.005014
2456685.756626    0.004442    0.001867  18.023 -0.0077  2.500 0.076 1.04925  1024.319  1024.296    0.05    44.06 18795  1  1 0 0  0.002458    0.002235
2456685.773378    0.012945    0.001869  18.023 -0.0069  3.381 0.078 1.04589  1030.745  1027.610  179.94    40.61 11514  2  1 0 0  0.003197    0.010554
2456685.773893    0.004643    0.001871  18.023 -0.0091  2.537 0.116 1.04590  1023.607  1027.540  179.94    41.01 18729  2  1 0 0  0.003224    0.001369
2456686.559071   -0.000658    0.003352  18.023  0.0194  2.948 0.053 1.95886  1024.064  1024.741   -0.00    63.31 14709  1  1 0 0 -0.000533    0.000119
2456686.559587    0.017577    0.003374  18.023  0.0162  2.985 0.065 1.95182  1023.550  1024.015   -0.00    64.02 13709  1  1 0 0 -0.000532    0.018390
2456686.575975    0.006545    0.002957  18.023  0.0059  2.849 0.061 1.75434  1023.407  1022.947    0.01    62.65 14108  1  1 0 0 -0.000952    0.007575
2456686.576488    0.001263    0.002979  18.023  0.0103  2.944 0.075 1.74889  1023.582  1023.727    0.00    62.97 13710  1  1 0 0 -0.000969    0.002403
2456686.594938    0.007975    0.002671  18.023 -0.0015  2.997 0.065 1.57700  1023.393  1023.726    0.02    61.12 12915  1  1 0 0 -0.000192    0.008513
2456686.595453   -0.007899    0.002651  18.023 -0.0059  3.072 0.055 1.57280  1023.568  1024.671    0.01    61.03 13078  1  1 0 0 -0.000149   -0.007320
2456686.614071    0.005338    0.002420  18.023 -0.0037  3.045 0.064 1.43881  1023.302  1023.117    0.02    47.92 13737  1  1 0 0  0.001366    0.004609
2456686.614586    0.004564    0.002426  18.023 -0.0056  3.171 0.062 1.43555  1023.275  1023.808    0.02    49.55 11991  1  1 0 0  0.001408    0.003929
2456686.630131    0.008506    0.002303  18.023 -0.0325  2.808 0.065 1.34668  1022.913  1024.814    0.02    41.15 16725  1  1 0 0  0.002355    0.006700
2456686.630647    0.004500    0.002281  18.023 -0.0303  2.727 0.058 1.34403  1024.552  1023.168    0.02    43.79 16303  1  1 0 0  0.002375    0.002595
2456686.643916    0.013558    0.002189  18.023 -0.0361  2.651 0.079 1.28144  1023.137  1024.175    0.03    35.12 17708  1  1 0 0  0.002889    0.011142
2456686.644426    0.004045    0.002193  18.023 -0.0360  2.554 0.088 1.27924  1023.388  1023.657    0.03    36.87 16995  1  1 0 0  0.002913    0.001509
2456686.666312    0.009557    0.002072  18.023 -0.0296  2.554 0.059 1.19745  1024.652  1023.362    0.02    40.13 18056  1  1 0 0  0.003727    0.006333
2456686.666823    0.002512    0.002065  18.023 -0.0328  2.392 0.069 1.19581  1024.554  1023.832    0.02    40.53 21428  1  1 0 0  0.003717   -0.000869
2456686.682353    0.011043    0.002010  18.023 -0.0303  2.667 0.052 1.15115  1024.676  1023.637    0.03    37.77 14231  1  1 0 0  0.003430    0.008185
